time(s),0.0Hz,0.25Hz,0.5Hz,0.75Hz,1.0Hz,1.25Hz,1.5Hz,1.75Hz,2.0Hz
0.0322,-32.9014,-32.9201,-32.9762,-33.0695,-33.1998,-33.3667,-33.5698,-33.8085,-34.0821
0.0324,-23.6472,-23.6664,-23.7239,-23.8195,-23.9531,-24.1241,-24.3322,-24.5769,-24.8573
0.0326,-14.2998,-14.3194,-14.378,-14.4756,-14.6119,-14.7865,-14.9989,-15.2485,-15.5348
0.0328,-4.8959,-4.9158,-4.9754,-5.0746,-5.2131,-5.3906,-5.6065,-5.8603,-6.1513
0.033,4.5273,4.5072,4.4468,4.3464,4.2062,4.0265,3.808,3.551,3.2564
0.0332,13.9327,13.9124,13.8515,13.7503,13.6089,13.4277,13.2073,12.9482,12.6511
0.0334,23.2831,23.2627,23.2016,23.0999,22.9579,22.776,22.5546,22.2944,21.996
0.0336,32.5415,32.5211,32.46,32.3583,32.2164,32.0344,31.8131,31.5528,31.2543
0.0338,41.6716,41.6513,41.5904,41.4892,41.3478,41.1666,40.9461,40.6869,40.3896
0.034,50.6372,50.6171,50.5567,50.4563,50.3161,50.1364,49.9178,49.6607,49.3659
0.0342,59.4029,59.3831,59.3235,59.2244,59.086,58.9087,58.6928,58.439,58.1479
0.0344,67.9343,67.9147,67.8562,67.7589,67.6229,67.4487,67.2366,66.9872,66.7012
0.0346,76.1975,76.1784,76.1212,76.026,75.8931,75.7228,75.5155,75.2717,74.992
0.0348,84.16,84.1414,84.0858,83.9933,83.8641,83.6985,83.4969,83.2598,82.9878
0.035,91.7903,91.7724,91.7187,91.6292,91.5043,91.3442,91.1494,90.9201,90.6571
0.0352,99.0584,99.0412,98.9896,98.9037,98.7838,98.63,98.4428,98.2225,97.9697
0.0354,105.9356,105.9192,105.8699,105.788,105.6736,105.527,105.3484,105.1382,104.897
0.0356,112.3947,112.3791,112.3326,112.2551,112.1468,112.008,111.839,111.6401,111.4117
0.0358,118.4102,118.3956,118.352,118.2793,118.1778,118.0477,117.8891,117.7025,117.4881
0.036,123.9584,123.9449,123.9044,123.837,123.7428,123.622,123.4748,123.3015,123.1024
0.0362,129.0174,129.005,128.9679,128.9062,128.8199,128.7091,128.5742,128.4152,128.2326
0.0364,133.5672,133.556,133.5226,133.4669,133.389,133.289,133.1671,133.0235,132.8584
0.0366,137.5899,137.58,137.5504,137.5011,137.4321,137.3436,137.2356,137.1082,136.9616
0.0368,141.0696,141.061,141.0355,140.9929,140.9334,140.8569,140.7635,140.6532,140.5263
0.037,143.9925,143.9854,143.9641,143.9286,143.8789,143.815,143.737,143.6447,143.5383
0.0372,146.3472,146.3416,146.3247,146.2966,146.2572,146.2064,146.1443,146.0708,145.9858
0.0374,148.1243,148.1202,148.108,148.0875,148.0587,148.0217,147.9761,147.922,147.8592
0.0376,149.3168,149.3143,149.3068,149.2943,149.2765,149.2535,149.2251,149.1911,149.1512
0.0378,149.9201,149.9192,149.9166,149.9121,149.9057,149.8972,149.8864,149.873,149.8567
0.038,149.9317,149.9325,149.9348,149.9387,149.9439,149.9502,149.9574,149.9651,149.9729
0.0382,149.3515,149.354,149.3615,149.3739,149.3909,149.4123,149.4378,149.467,149.4995
0.0384,148.182,148.1862,148.1989,148.2198,148.2488,148.2856,148.3297,148.3807,148.4382
0.0386,146.4276,146.4336,146.4515,146.4811,146.5222,146.5745,146.6375,146.7106,146.7933
0.0388,144.0954,144.1031,144.1263,144.1646,144.218,144.2858,144.3678,144.4631,144.5712
0.039,141.1945,141.204,141.2324,141.2795,141.3451,141.4286,141.5295,141.6472,141.7807
0.0392,137.7363,137.7476,137.7813,137.8372,137.915,138.0141,138.134,138.2739,138.4328
0.0394,133.7346,133.7476,133.7865,133.8511,133.9411,134.0557,134.1945,134.3565,134.5407
0.0396,129.2051,129.2198,129.2639,129.3371,129.4391,129.5691,129.7266,129.9104,130.1197
0.0398,124.1656,124.1821,124.2313,124.313,124.4268,124.572,124.7478,124.9532,125.1871
