time(s),300sample,320sample,340sample,360sample,380sample,400sample
0.0318,-64.8129,-64.8129,-64.8129,-64.8129,-64.8129,-64.8129
0.032,-56.191,-56.191,-56.191,-56.191,-56.191,-56.191
0.0322,-47.3474,-47.3474,-47.3474,-47.3474,-47.3474,-47.3474
0.0324,-38.3169,-38.3169,-38.3169,-38.3169,-38.3169,-38.3169
0.0326,-29.1352,-29.1352,-29.1352,-29.1352,-29.1352,-29.1352
0.0328,-19.8385,-19.8385,-19.8385,-19.8385,-19.8385,-19.8385
0.033,-10.4635,-10.4635,-10.4635,-10.4635,-10.4635,-10.4635
0.0332,-1.0472,-1.0472,-1.0472,-1.0472,-1.0472,-1.0472
0.0334,8.3732,8.3732,8.3732,8.3732,8.3732,8.3732
0.0336,17.7606,17.7606,17.7606,17.7606,17.7606,17.7606
0.0338,27.0779,27.0779,27.0779,27.0779,27.0779,27.0779
0.034,36.2883,36.2883,36.2883,36.2883,36.2883,36.2883
0.0342,45.3555,45.3555,45.3555,45.3555,45.3555,45.3555
0.0344,54.2437,54.2437,54.2437,54.2437,54.2437,54.2437
0.0346,62.9178,62.9178,62.9178,62.9178,62.9178,62.9178
0.0348,71.3436,71.3436,71.3436,71.3436,71.3436,71.3436
0.035,79.4879,79.4879,79.4879,79.4879,79.4879,79.4879
0.0352,87.3184,87.3184,87.3184,87.3184,87.3184,87.3184
0.0354,94.8044,94.8044,94.8044,94.8044,94.8044,94.8044
0.0356,101.9162,101.9162,101.9162,101.9162,101.9162,101.9162
0.0358,108.6258,108.6258,108.6258,108.6258,108.6258,108.6258
0.036,114.9067,114.9067,114.9067,114.9067,114.9067,114.9067
0.0362,120.7341,120.7341,120.7341,120.7341,120.7341,120.7341
0.0364,126.085,126.085,126.085,126.085,126.085,126.085
0.0366,130.9383,130.9383,130.9383,130.9383,130.9383,130.9383
0.0368,135.2749,135.2749,135.2749,135.2749,135.2749,135.2749
0.037,139.0776,139.0776,139.0776,139.0776,139.0776,139.0776
0.0372,142.3314,142.3314,142.3314,142.3314,142.3314,142.3314
0.0374,145.0235,145.0235,145.0235,145.0235,145.0235,145.0235
0.0376,147.1433,147.1433,147.1433,147.1433,147.1433,147.1433
0.0378,148.6823,148.6823,148.6823,148.6823,148.6823,148.6823
0.038,149.6346,149.6346,149.6346,149.6346,149.6346,149.6346
0.0382,149.9963,149.9963,149.9963,149.9963,149.9963,149.9963
0.0384,149.7661,149.7661,149.7661,149.7661,149.7661,149.7661
0.0386,148.9448,148.9448,148.9448,148.9448,148.9448,148.9448
0.0388,147.5357,147.5357,147.5357,147.5357,147.5357,147.5357
0.039,145.5444,145.5444,145.5444,145.5444,145.5444,145.5444
0.0392,142.9786,142.9786,142.9786,142.9786,142.9786,142.9786
0.0394,139.8486,139.8486,139.8486,139.8486,139.8486,139.8486
0.0396,136.1666,136.1666,136.1666,136.1666,136.1666,136.1666
0.0398,131.9473,131.9473,131.9473,131.9473,131.9473,131.9473
0.04,127.2072,127.2072,127.2072,127.2072,127.2072,127.2072
0.0402,121.9651,121.9651,121.9651,121.9651,121.9651,121.9651
0.0404,116.2417,116.2417,116.2417,116.2417,116.2417,116.2417
0.0406,110.0595,110.0595,110.0595,110.0595,110.0595,110.0595
0.0408,103.4429,103.4429,103.4429,103.4429,103.4429,103.4429
0.041,96.4181,96.4181,96.4181,96.4181,96.4181,96.4181
0.0412,89.0128,89.0128,89.0128,89.0128,89.0128,89.0128
0.0414,81.2562,81.2562,81.2562,81.2562,81.2562,81.2562
0.0416,73.1789,73.1789,73.1789,73.1789,73.1789,73.1789
0.0418,64.8129,64.8129,64.8129,64.8129,64.8129,64.8129
0.042,56.191,56.191,56.191,56.191,56.191,56.191
0.0422,47.3474,47.3474,47.3474,47.3474,47.3474,47.3474
0.0424,38.3169,38.3169,38.3169,38.3169,38.3169,38.3169
0.0426,29.1352,29.1352,29.1352,29.1352,29.1352,29.1352
0.0428,19.8385,19.8385,19.8385,19.8385,19.8385,19.8385
0.043,10.4635,10.4635,10.4635,10.4635,10.4635,10.4635
0.0432,1.0472,1.0472,1.0472,1.0472,1.0472,1.0472
0.0434,-8.3732,-8.3732,-8.3732,-8.3732,-8.3732,-8.3732
0.0436,-17.7606,-17.7606,-17.7606,-17.7606,-17.7606,-17.7606
0.0438,-27.0779,-27.0779,-27.0779,-27.0779,-27.0779,-27.0779
0.044,-36.2883,-36.2883,-36.2883,-36.2883,-36.2883,-36.2883
0.0442,-45.3555,-45.3555,-45.3555,-45.3555,-45.3555,-45.3555
0.0444,-54.2437,-54.2437,-54.2437,-54.2437,-54.2437,-54.2437
0.0446,-62.9178,-62.9178,-62.9178,-62.9178,-62.9178,-62.9178
0.0448,-71.3436,-71.3436,-71.3436,-71.3436,-71.3436,-71.3436
0.045,-79.4879,-79.4879,-79.4879,-79.4879,-79.4879,-79.4879
0.0452,-87.3184,-87.3184,-87.3184,-87.3184,-87.3184,-87.3184
0.0454,-94.8044,-94.8044,-94.8044,-94.8044,-94.8044,-94.8044
0.0456,-101.9162,-101.9162,-101.9162,-101.9162,-101.9162,-101.9162
0.0458,-108.6258,-108.6258,-108.6258,-108.6258,-108.6258,-108.6258
0.046,-114.9067,-114.9067,-114.9067,-114.9067,-114.9067,-114.9067
0.0462,-120.7341,-120.7341,-120.7341,-120.7341,-120.7341,-120.7341
0.0464,-126.085,-126.085,-126.085,-126.085,-126.085,-126.085
0.0466,-130.9383,-130.9383,-130.9383,-130.9383,-130.9383,-130.9383
0.0468,-135.2749,-135.2749,-135.2749,-135.2749,-135.2749,-135.2749
0.047,-139.0776,-139.0776,-139.0776,-139.0776,-139.0776,-139.0776
