time(s),10ms,40ms,70ms,100ms
0.1336,17.7608,22.5446,37.78,53.2514
0.134,36.2885,41.0247,56.1936,71.6374
0.1344,54.2439,58.9329,74.0356,89.4517
0.1348,71.3438,75.9862,91.0228,106.4111
0.1352,87.3186,91.9149,106.8855,122.246
0.1356,101.9164,106.4669,121.3717,136.7043
0.136,114.9068,119.4121,134.2514,149.5559
0.1364,126.0852,130.5456,145.3194,160.5959
0.1368,135.275,139.6911,154.3997,169.648
0.1372,142.3316,146.7036,161.3473,176.5673
0.1376,147.1434,151.472,166.0508,181.2425
0.138,149.6347,153.9203,168.4344,183.5977
0.1384,149.7662,154.0091,168.4588,183.5936
0.1388,147.5358,151.7365,166.1219,181.2282
0.1392,142.9787,147.1376,161.4589,176.5366
0.1396,136.1667,140.2842,154.5416,169.5906
0.14,127.2073,131.2839,145.4775,160.4978
0.1404,116.2418,120.2778,134.4078,149.3994
0.1408,103.443,107.4389,121.5056,136.4683
0.1412,89.0129,92.969,106.9726,121.9063
0.1416,73.179,77.0957,91.0363,105.9411
0.142,56.1911,60.0688,73.9466,88.8224
0.1424,38.317,42.1561,55.9713,70.818
0.1428,19.8385,23.6395,37.3923,52.2098
0.1432,1.0473,4.8104,18.501,33.2893
0.1436,-17.7605,-14.0348,-0.4062,14.3528
0.144,-36.2882,-32.5996,-19.0328,-4.303
0.1444,-54.2436,-50.5917,-37.0865,-22.3861
0.1448,-71.3436,-67.728,-54.2842,-39.6132
0.1452,-87.3184,-83.7388,-70.3562,-55.7147
0.1456,-101.9161,-98.3721,-85.0506,-70.4386
0.146,-114.9066,-111.3979,-98.1372,-83.5548
0.1464,-126.0849,-122.6111,-109.4111,-94.8583
0.1468,-135.2748,-131.8356,-118.696,-104.1728
0.1472,-142.3313,-138.9263,-125.8469,-111.3535
0.1476,-147.1432,-143.7721,-130.7527,-116.289
0.148,-149.6346,-146.2969,-133.3375,-118.9035
0.1484,-149.7661,-146.4616,-133.5618,-119.1577
0.1488,-147.5357,-144.2641,-131.4238,-117.0495
0.1492,-142.9786,-139.7396,-126.9585,-112.6141
0.1496,-136.1666,-132.9598,-120.2378,-105.9233
0.15,-127.2072,-124.0323,-111.3691,-97.0846
0.1504,-116.2416,-113.0984,-100.4938,-86.2394
0.1508,-103.4429,-100.3309,-87.7848,-73.5604
0.1512,-89.0128,-85.9318,-73.4439,-59.2496
0.1516,-73.1789,-70.1285,-57.6988,-43.5345
0.152,-56.191,-53.1709,-40.799,-26.6649
0.1524,-38.3168,-35.3269,-23.0126,-8.9086
0.1528,-19.8384,-16.8782,-4.6214,9.4524
0.1532,-1.0472,1.8836,14.0832,28.1267
0.1536,17.7606,20.6622,32.8047,46.818
0.154,36.2883,39.161,51.2467,65.2297
0.1544,54.2437,57.0879,69.1169,83.0696
0.1548,71.3437,74.1595,86.1321,100.0545
0.1552,87.3185,90.1063,102.0226,115.9147
0.1556,101.9162,104.6763,116.5366,130.3983
0.156,114.9067,117.6393,129.4438,143.275
0.1564,126.085,128.7905,140.5392,154.3401
0.1568,135.2749,137.9534,149.6468,163.4172
0.1572,142.3314,144.9833,156.6214,170.3614
0.1576,147.1433,149.7688,161.3519,175.0614
0.158,149.6346,152.234,163.7622,177.4412
0.1584,149.7661,152.3396,163.8132,177.4617
0.1588,147.5357,150.0836,161.5028,175.1208
0.1592,142.9786,145.5012,156.8661,170.4536
0.1596,136.1666,138.6641,149.975,163.5319
0.16,127.2072,129.6798,140.9369,154.4632
0.1604,116.2417,118.6897,129.8931,143.3889
0.1608,103.4429,105.8666,117.0166,130.4818
0.1612,89.0128,91.4124,102.5092,115.9437
0.1616,73.179,75.5546,86.5984,100.0024
0.162,56.191,58.543,69.534,82.9073
0.1624,38.3169,40.6455,51.5838,64.9265
0.1628,19.8385,22.1439,33.0298,46.3419
0.1632,1.0472,3.3297,14.1634,27.4448
0.1636,-17.7606,-15.5008,-4.7192,8.5317
0.164,-36.2883,-34.051,-23.3212,-10.101
0.1644,-54.2437,-52.0286,-41.3504,-28.1609
0.1648,-71.3436,-69.1506,-58.5239,-45.365
0.1652,-87.3184,-85.1473,-74.5717,-61.4435
0.1656,-101.9162,-99.7666,-89.2421,-76.1446
0.166,-114.9067,-112.7785,-102.3048,-89.2379
0.1664,-126.085,-123.978,-113.5549,-100.5187
0.1668,-135.2749,-133.1888,-122.8162,-109.8106
0.1672,-142.3314,-140.2661,-129.9437,-116.9688
0.1676,-147.1433,-145.0985,-134.8262,-121.8819
0.168,-149.6346,-147.6102,-137.3877,-124.4741
0.1684,-149.7661,-147.7619,-137.589,-124.7061
0.1688,-147.5357,-145.5514,-135.428,-122.5757
0.1692,-142.9786,-141.014,-130.9398,-118.1182
0.1696,-136.1666,-134.2216,-124.1965,-111.4055
0.17,-127.2072,-125.2815,-115.3053,-102.5449
0.1704,-116.2417,-114.3352,-104.4075,-91.6778
0.1708,-103.4429,-101.5554,-91.6762,-78.9772
0.1712,-89.0128,-87.1441,-77.3132,-64.6447
0.1716,-73.1789,-71.3288,-61.5459,-48.9081
0.172,-56.191,-54.3592,-44.6243,-32.0171
0.1724,-38.3169,-36.5033,-26.8161,-14.2394
0.1728,-19.8385,-18.043,-8.4032,4.1429
0.1732,-1.0472,0.7304,10.3229,22.8384
0.1736,17.7606,19.5205,29.0659,41.5508
0.174,36.2883,38.0307,47.5292,59.9835
0.1744,54.2437,55.9688,65.4206,77.8443
0.1748,71.3436,73.0515,82.4568,94.8501
0.1752,87.3184,89.0094,98.3683,110.7311
0.1756,101.9162,103.5903,112.9031,125.2353
0.176,114.9067,116.5641,125.831,138.1327
0.1764,126.085,127.7259,136.947,149.2183
0.1768,135.2749,136.8995,146.075,158.3159
0.1772,142.3314,143.9399,153.07,165.2804
0.1776,147.1433,148.7357,157.8207,170.0007
0.178,149.6346,151.2112,160.2512,172.4008
0.1784,149.7661,151.327,160.3222,172.4414
