time(s),0.0Hz,0.25Hz,0.5Hz,0.75Hz,1.0Hz,1.25Hz,1.5Hz,1.75Hz,2.0Hz
0.06,153.8334,153.7714,153.5857,153.2781,152.8514,152.3092,151.6564,150.8988,150.0431
0.0604,145.2405,145.1811,145.0035,144.7093,144.3011,143.7825,143.1583,142.4341,141.6164
0.0608,134.4026,134.3469,134.1804,133.9045,133.5218,133.0358,132.4509,131.7724,131.0065
0.0612,121.4872,121.4362,121.2837,121.0311,120.6807,120.2358,119.7004,119.0795,118.3789
0.0616,106.694,106.6486,106.5129,106.2882,105.9765,105.5808,105.1047,104.5528,103.9302
0.062,90.2515,90.2126,90.0964,89.9038,89.6368,89.2979,88.8902,88.4177,87.8848
0.0624,72.4141,72.3825,72.288,72.1315,71.9145,71.6392,71.308,70.9243,70.4918
0.0628,53.4573,53.4336,53.363,53.246,53.0838,52.878,52.6306,52.344,52.0209
0.0632,33.6742,33.6591,33.614,33.5394,33.436,33.3047,33.147,32.9643,32.7584
0.0636,13.3706,13.3645,13.3464,13.3164,13.2748,13.2221,13.1587,13.0853,13.0026
0.064,-7.1397,-7.1364,-7.1266,-7.1104,-7.0879,-7.0594,-7.0251,-6.9855,-6.9408
0.0644,-27.5396,-27.5268,-27.4885,-27.4252,-27.3374,-27.2261,-27.0924,-26.9377,-26.7635
0.0648,-47.5138,-47.4914,-47.4246,-47.314,-47.1607,-46.9663,-46.733,-46.4629,-46.1591
0.0652,-66.7536,-66.7218,-66.6267,-66.4694,-66.2514,-65.9751,-65.6434,-65.2597,-64.8281
0.0656,-84.9615,-84.9206,-84.7981,-84.5954,-84.3147,-83.9589,-83.5317,-83.0379,-82.4824
0.066,-101.8562,-101.8065,-101.6579,-101.412,-101.0714,-100.6398,-100.1218,-99.5231,-98.8499
0.0664,-117.1765,-117.1186,-116.9456,-116.6593,-116.2628,-115.7605,-115.1578,-114.4613,-113.6785
0.0668,-130.6856,-130.6203,-130.425,-130.1018,-129.6544,-129.0877,-128.4079,-127.6224,-126.7399
0.0672,-142.1747,-142.1027,-141.8877,-141.532,-141.0396,-140.4159,-139.6679,-138.8039,-137.8336
0.0676,-151.4661,-151.3885,-151.1567,-150.7733,-150.2426,-149.5705,-148.7647,-147.8342,-146.7895
0.068,-158.4163,-158.3342,-158.0889,-157.6832,-157.1217,-156.4108,-155.5586,-154.5748,-153.4706
0.0684,-162.9178,-162.8324,-162.5772,-162.1551,-161.5709,-160.8316,-159.9454,-158.9227,-157.7753
0.0688,-164.9011,-164.8136,-164.5523,-164.1201,-163.5221,-162.7653,-161.8585,-160.8122,-159.6388
0.0692,-164.3355,-164.2473,-163.9838,-163.5481,-162.9454,-162.1828,-161.2692,-160.2154,-159.034
0.0696,-161.2297,-161.1422,-160.8807,-160.4484,-159.8503,-159.0938,-158.1877,-157.1429,-155.972
0.07,-155.6317,-155.5463,-155.291,-154.8689,-154.2852,-153.5468,-152.6628,-151.6437,-150.5019
0.0704,-147.6282,-147.5462,-147.3013,-146.8964,-146.3365,-145.6284,-144.7808,-143.804,-142.71
0.0708,-137.3427,-137.2656,-137.0351,-136.6542,-136.1275,-135.4616,-134.6647,-133.7465,-132.7186
0.0712,-124.9343,-124.8633,-124.6513,-124.301,-123.8166,-123.2043,-122.4716,-121.6279,-120.6835
0.0716,-110.5947,-110.5312,-110.3415,-110.0279,-109.5944,-109.0465,-108.3911,-107.6366,-106.7923
0.072,-94.5457,-94.4908,-94.3268,-94.0557,-93.6811,-93.2077,-92.6416,-91.99,-91.2612
0.0724,-77.0353,-76.9901,-76.8549,-76.6316,-76.3231,-75.9333,-75.4672,-74.9309,-74.3314
0.0728,-58.3341,-58.2995,-58.196,-58.0251,-57.7889,-57.4906,-57.1341,-56.7239,-56.2655
0.0732,-38.7313,-38.708,-38.6386,-38.5239,-38.3654,-38.1652,-37.9261,-37.651,-37.3437
0.0736,-18.5297,-18.5185,-18.4849,-18.4294,-18.3528,-18.256,-18.1405,-18.0076,-17.8592
0.074,1.9582,1.957,1.9534,1.9475,1.9393,1.929,1.9166,1.9025,1.8866
0.0744,22.4159,22.402,22.3605,22.2919,22.1973,22.0778,21.9351,21.7712,21.5883
0.0748,42.5271,42.5004,42.4208,42.2894,42.1079,41.8789,41.6055,41.2915,40.9413
0.0752,61.9809,61.9417,61.8244,61.6308,61.3636,61.0264,60.624,60.162,59.6468
0.0756,80.4767,80.4252,80.2714,80.0173,79.6668,79.2245,78.6969,78.0913,77.4162
0.076,97.7286,97.6654,97.4766,97.1649,96.7347,96.1923,95.5453,94.8028,93.9756
0.0764,113.4698,113.3956,113.1741,112.8085,112.304,111.6678,110.9092,110.0391,109.0699
0.0768,127.4572,127.3729,127.1215,126.7066,126.1341,125.4124,124.5521,123.5655,122.4671
0.0772,139.4744,139.3812,139.1033,138.6445,138.0117,137.2142,136.2636,135.174,133.9613
