time(s),300sample,320sample,340sample,360sample,380sample,400sample
0.1312,-66.6953,-66.6953,-89.0128,-89.0128,-89.0128,-89.0128
0.1316,-49.33,-49.33,-73.1789,-73.1789,-73.1789,-73.1789
0.132,-31.1868,-31.1868,-56.191,-56.191,-56.191,-56.191
0.1324,-12.5517,-12.5517,-38.3169,-38.3169,-38.3169,-38.3169
0.1328,6.2813,6.2813,-19.8385,-19.8385,-19.8385,-19.8385
0.1332,25.0153,25.0153,-1.0472,-1.0472,-1.0472,-1.0472
0.1336,43.3548,43.3548,17.7606,17.7606,17.7606,17.7606
0.134,61.0105,61.0105,36.2883,36.2883,36.2883,36.2883
0.1344,77.7041,77.7041,54.2437,54.2437,54.2437,54.2437
0.1348,93.1722,93.1722,71.3436,71.3436,71.3436,71.3436
0.1352,107.1709,107.1709,87.3184,87.3184,87.3184,87.3184
0.1356,119.4795,119.4795,101.9162,101.9162,101.9162,101.9162
0.136,129.9038,129.9038,129.9038,114.9067,114.9067,114.9067
0.1364,138.2795,138.2795,138.2795,126.085,126.085,126.085
0.1368,144.4744,144.4744,144.4744,135.2749,135.2749,135.2749
0.1372,148.3908,148.3908,148.3908,142.3314,142.3314,142.3314
0.1376,149.9671,149.9671,149.9671,147.1433,147.1433,147.1433
0.138,149.1783,149.1783,149.1783,149.6346,149.6346,149.6346
0.1384,146.0368,146.0368,146.0368,149.7661,149.7661,149.7661
0.1388,140.5923,140.5923,140.5923,147.5357,147.5357,147.5357
0.1392,132.9305,132.9305,132.9305,142.9786,142.9786,142.9786
0.1396,123.1724,123.1724,123.1724,136.1666,136.1666,136.1666
0.14,111.4717,111.4717,111.4717,127.2072,127.2072,127.2072
0.1404,98.0131,98.0131,98.0131,116.2417,116.2417,116.2417
0.1408,83.0087,83.0087,83.0087,103.4429,103.4429,103.4429
0.1412,66.6953,66.6953,66.6953,89.0128,89.0128,89.0128
0.1416,49.33,49.33,49.33,73.1789,73.1789,73.1789
0.142,31.1868,31.1868,31.1868,56.191,56.191,56.191
0.1424,12.5517,12.5517,12.5517,38.3169,38.3169,38.3169
0.1428,-6.2813,-6.2813,-6.2813,19.8385,19.8385,19.8385
0.1432,-25.0153,-25.0153,-25.0153,1.0472,1.0472,1.0472
