time(s),300sample,320sample,340sample,360sample,380sample,400sample
0.1156,56.1716,56.1716,56.1716,56.1716,56.1716,56.1716
0.116,72.9961,72.9961,72.9961,72.9961,72.9961,72.9961
0.1164,88.6922,88.6922,88.6922,88.6922,88.6922,88.6922
0.1168,103.0175,103.0175,103.0175,103.0175,103.0175,103.0175
0.1172,115.7503,115.7503,115.7503,115.7503,115.7503,115.7503
0.1176,126.6941,126.6941,126.6941,126.6941,126.6941,126.6941
0.118,135.6794,135.6794,135.6794,135.6794,135.6794,135.6794
0.1184,142.5676,142.5676,142.5676,142.5676,142.5676,142.5676
0.1188,147.2521,147.2521,147.2521,147.2521,147.2521,147.2521
0.1192,149.6604,149.6604,149.6604,149.6604,149.6604,149.6604
0.1196,149.7555,149.7555,149.7555,149.7555,149.7555,149.7555
0.12,162.2893,147.5357,147.5357,147.5357,147.5357,147.5357
0.1204,157.339,143.0355,143.0355,143.0355,143.0355,143.0355
0.1208,149.9568,136.3243,136.3243,136.3243,136.3243,136.3243
0.1212,140.2566,127.506,127.506,127.506,127.506,127.506
0.1216,128.3884,116.7167,116.7167,116.7167,116.7167,116.7167
0.122,114.5357,104.1234,104.1234,104.1234,104.1234,104.1234
0.1224,98.9127,89.9206,89.9206,89.9206,89.9206,89.9206
0.1228,81.7607,74.3279,74.3279,74.3279,74.3279,74.3279
0.1232,63.3449,57.5863,57.5863,57.5863,57.5863,57.5863
0.1236,43.95,39.9546,39.9546,39.9546,39.9546,39.9546
0.124,23.8758,21.7052,21.7052,21.7052,21.7052,21.7052
0.1244,3.4325,3.1204,3.1204,3.1204,3.1204,3.1204
0.1248,-17.0639,-15.5126,-15.5126,-15.5126,-15.5126,-15.5126
0.1252,-37.2965,-33.9059,-33.9059,-33.9059,-33.9059,-33.9059
0.1256,-56.9526,-51.7751,-51.7751,-51.7751,-51.7751,-51.7751
0.126,-75.7284,-68.844,-68.844,-68.844,-68.844,-68.844
0.1264,-93.3336,-84.8487,-84.8487,-84.8487,-84.8487,-84.8487
0.1268,-109.4961,-99.5419,-99.5419,-99.5419,-99.5419,-99.5419
0.1272,-123.9662,-112.6965,-112.6965,-112.6965,-112.6965,-112.6965
0.1276,-136.5201,-124.1092,-124.1092,-124.1092,-124.1092,-124.1092
0.128,-146.9637,-146.9637,-133.6034,-133.6034,-133.6034,-133.6034
0.1284,-155.1358,-155.1358,-141.0325,-141.0325,-141.0325,-141.0325
0.1288,-160.9098,-160.9098,-146.2817,-146.2817,-146.2817,-146.2817
0.1292,-164.1967,-164.1967,-149.2697,-149.2697,-149.2697,-149.2697
0.1296,-164.9455,-164.9455,-149.9505,-149.9505,-149.9505,-149.9505
0.13,-163.1448,-163.1448,-148.3135,-148.3135,-148.3135,-148.3135
0.1304,-158.8223,-158.8223,-144.3839,-144.3839,-144.3839,-144.3839
0.1308,-152.0449,-152.0449,-138.2226,-138.2226,-138.2226,-138.2226
0.1312,-142.9172,-142.9172,-129.9247,-129.9247,-129.9247,-129.9247
0.1316,-131.5805,-131.5805,-119.6186,-119.6186,-119.6186,-119.6186
0.132,-118.2099,-118.2099,-107.4636,-107.4636,-107.4636,-107.4636
0.1324,-103.0121,-103.0121,-93.6474,-93.6474,-93.6474,-93.6474
0.1328,-86.2221,-86.2221,-78.3837,-78.3837,-78.3837,-78.3837
0.1332,-68.0993,-68.0993,-61.9084,-61.9084,-61.9084,-61.9084
0.1336,-48.9239,-48.9239,-44.4762,-44.4762,-44.4762,-44.4762
0.134,-28.9922,-28.9922,-26.3566,-26.3566,-26.3566,-26.3566
0.1344,-8.6124,-8.6124,-7.8295,-7.8295,-7.8295,-7.8295
0.1348,11.9005,11.9005,10.8186,10.8186,10.8186,10.8186
0.1352,32.2294,32.2294,29.2995,29.2995,29.2995,29.2995
0.1356,52.0602,52.0602,47.3275,47.3275,47.3275,47.3275
0.136,71.0863,71.0863,71.0863,64.6239,64.6239,64.6239
0.1364,89.0136,89.0136,89.0136,80.9215,80.9215,80.9215
0.1368,105.565,105.565,105.565,95.9682,95.9682,95.9682
0.1372,120.4846,120.4846,120.4846,109.5315,109.5315,109.5315
0.1376,133.5419,133.5419,133.5419,121.4018,121.4018,121.4018
0.138,144.5351,144.5351,144.5351,131.3955,131.3955,131.3955
0.1384,153.2941,153.2941,153.2941,139.3583,139.3583,139.3583
0.1388,159.6836,159.6836,159.6836,145.1669,145.1669,145.1669
0.1392,163.6049,163.6049,163.6049,148.7317,148.7317,148.7317
0.1396,164.9973,164.9973,164.9973,149.9975,149.9975,149.9975
0.14,163.8393,163.8393,163.8393,148.9448,148.9448,148.9448
0.1404,160.1488,160.1488,160.1488,145.5898,145.5898,145.5898
0.1408,153.9829,153.9829,153.9829,139.9845,139.9845,139.9845
0.1412,145.4368,145.4368,145.4368,132.2153,132.2153,132.2153
0.1416,134.6427,134.6427,134.6427,122.4025,122.4025,122.4025
0.142,121.7674,121.7674,121.7674,110.6977,110.6977,110.6977
0.1424,107.0099,107.0099,107.0099,97.2818,97.2818,97.2818
0.1428,90.5984,90.5984,90.5984,82.3622,82.3622,82.3622
0.1432,72.7864,72.7864,72.7864,66.1695,66.1695,66.1695
0.1436,53.8494,53.8494,53.8494,48.954,48.954,48.954
0.144,34.08,34.08,34.08,34.08,30.9819,30.9819
0.1444,13.7839,13.7839,13.7839,13.7839,12.5308,12.5308
0.1448,-6.7253,-6.7253,-6.7253,-6.7253,-6.1139,-6.1139
0.1452,-27.1306,-27.1306,-27.1306,-27.1306,-24.6642,-24.6642
0.1456,-47.1165,-47.1165,-47.1165,-47.1165,-42.8332,-42.8332
0.146,-66.3741,-66.3741,-66.3741,-66.3741,-60.3401,-60.3401
0.1464,-84.6058,-84.6058,-84.6058,-84.6058,-76.9143,-76.9143
0.1468,-101.5297,-101.5297,-101.5297,-101.5297,-92.2997,-92.2997
0.1472,-116.8842,-116.8842,-116.8842,-116.8842,-106.2584,-106.2584
0.1476,-130.432,-130.432,-130.432,-130.432,-118.5746,-118.5746
0.148,-141.9638,-141.9638,-141.9638,-141.9638,-129.058,-129.058
0.1484,-151.3011,-151.3011,-151.3011,-151.3011,-137.5465,-137.5465
0.1488,-158.2998,-158.2998,-158.2998,-158.2998,-143.9089,-143.9089
