time(s),48.0Hz,48.25Hz,48.5Hz,48.75Hz,49.0Hz,49.25Hz,49.5Hz,49.75Hz,50.0Hz,50.25Hz,50.5Hz,50.75Hz,51.0Hz,51.25Hz,51.5Hz,51.75Hz,52.0Hz
0.0168,118.6899,121.0688,123.3633,125.572,127.6931,129.7254,131.6674,133.5176,135.2749,136.938,138.5057,139.9769,141.3507,142.6261,143.8021,144.878,145.853
0.017,124.0032,126.2125,128.3318,130.3595,132.2944,134.1349,135.8797,137.5277,139.0776,140.5283,141.8788,143.1282,144.2755,145.32,146.2608,147.0973,147.829
0.0172,128.8654,130.8923,132.8236,134.658,136.3941,138.0307,139.5665,141.0004,142.3314,143.5585,144.6808,145.6976,146.608,147.4113,148.1071,148.6948,149.1739
0.0174,133.2589,135.0911,136.8223,138.4513,139.9769,141.398,142.7134,143.9222,145.0235,146.0165,146.9004,147.6746,148.3384,148.8915,149.3333,149.6636,149.8821
0.0176,137.1678,138.7934,140.3129,141.7252,143.0292,144.2238,145.3083,146.2817,147.1433,147.8924,148.5285,149.0511,149.4598,149.7543,149.9343,149.9997,149.9505
0.0178,140.5777,141.9856,143.2825,144.4673,145.5393,146.4975,147.3411,148.0696,148.6823,149.1788,149.5587,149.8217,149.9675,149.9962,149.9075,149.7017,149.3789
0.018,143.4763,144.6559,145.72,146.6675,147.4978,148.2101,148.804,149.279,149.6346,149.8706,149.9868,149.9831,149.8595,149.6161,149.2531,148.7708,148.1696
0.0182,145.853,146.7947,147.6163,148.3174,148.8972,149.3553,149.6914,149.9051,149.9963,149.965,149.8111,149.5347,149.1362,148.6157,147.9738,147.211,146.3279
0.0184,147.6993,148.3939,148.9646,149.4108,149.7322,149.9286,149.9997,149.9455,149.7661,149.4616,149.0322,148.4784,147.8005,146.9991,146.075,145.0289,143.8616
0.0186,149.0083,149.4478,149.7596,149.9437,149.9998,149.9278,149.7278,149.4001,148.9448,148.3624,147.6534,146.8183,145.8579,144.773,143.5646,142.2336,140.7812
0.0188,149.7754,149.9524,149.9986,149.914,149.6987,149.3529,148.8768,148.2709,147.5357,146.6719,145.6801,144.5613,143.3165,141.9467,140.4531,138.837,137.0999
0.019,149.9977,149.9059,149.6805,149.3219,148.8303,148.2061,147.4499,146.5624,145.5444,144.3967,143.1204,141.7166,140.1866,138.5318,136.7536,134.8535,132.8334
0.0192,149.6744,149.3084,148.8067,148.1696,147.3977,146.4918,145.4527,144.2813,142.9786,141.5459,139.9845,138.2957,136.4812,134.5425,132.4814,130.2999,127.9999
0.0194,148.8067,148.1623,147.3802,146.4614,145.4065,144.2166,142.8929,141.4364,139.8486,138.1309,136.285,134.3125,132.2153,129.9953,127.6547,125.1955,122.62
0.0196,147.3977,146.4715,145.4065,144.2037,142.8642,141.3892,139.7803,138.0389,136.1666,134.1653,132.0368,129.7832,127.4066,124.9092,122.2934,119.5617,116.7167
0.0198,145.4527,144.2425,142.8929,141.405,139.7803,138.0204,136.1271,134.102,131.9473,129.6649,127.2571,124.7263,122.0747,119.3052,116.4202,113.4226,110.3153
0.02,142.9786,141.4834,139.8486,138.0757,136.1666,134.1231,131.9473,129.6412,127.2072,124.6477,121.9651,119.1622,116.2417,113.2064,110.0595,106.8039,103.4429
0.0202,139.9845,138.2043,136.285,134.2285,132.0368,129.7123,127.2571,124.6739,121.9651,119.1336,116.1821,113.1136,109.9313,106.6383,103.238,99.7337,96.129
0.0204,136.4812,134.4172,132.2153,129.8776,127.4066,124.8047,122.0747,119.2194,116.2417,113.1446,109.9313,106.6052,103.1696,99.6281,95.9843,92.2419,88.4048
0.0206,132.4814,130.1362,127.6547,125.0395,122.2934,119.4193,116.4202,113.2991,110.0595,106.7046,103.238,99.6633,95.9843,92.2047,88.3287,84.3601,80.3033
0.0208,127.9999,125.3769,122.62,119.7323,116.7167,113.5766,110.3153,106.9362,103.4429,99.8393,96.129,92.3162,88.4048,84.3991,80.3033,76.1217,71.8589
0.021,123.0527,120.1567,117.13,113.9758,110.6977,107.299,103.7837,100.1554,96.4181,92.576,88.6331,84.5938,80.4624,76.2435,71.9417,67.5615,63.1079
0.0212,117.658,114.495,111.2051,107.7918,104.259,100.6106,96.8506,92.9833,89.0128,84.9437,80.7803,76.5274,72.1896,67.7718,63.2788,58.7157,54.0874
0.0214,111.8354,108.4125,104.8672,101.2033,97.4252,93.5369,89.543,85.4479,81.2562,76.9728,72.6023,68.1499,63.6204,59.0191,54.3511,49.6216,44.8361
0.0216,105.6059,101.9316,98.1399,94.2352,90.2221,86.1051,81.889,77.5786,73.1789,68.6951,64.1321,59.4953,54.79,50.0217,45.1957,40.3178,35.3934
0.0218,98.9924,95.076,91.0481,86.9135,82.677,78.3435,73.9182,69.4062,64.8129,60.1435,55.4036,50.5988,45.7346,40.8168,35.8512,30.8435,25.7997
0.022,92.0188,87.871,83.6183,79.2658,74.8185,70.282,65.6615,60.9627,56.191,51.3522,46.4521,41.4966,36.4915,31.4428,26.3566,21.2389,16.0958
0.0222,84.7105,80.3431,75.878,71.3206,66.6765,61.9514,57.1509,52.2809,47.3474,42.3562,37.3136,32.2256,27.0985,21.9384,16.7516,11.5444,6.3232
0.0224,77.0941,72.5199,67.8559,63.1079,58.2818,53.3835,48.4192,43.3949,38.3169,33.1914,28.0249,22.8237,17.5942,12.343,7.0764,1.8011,-3.4764
0.0226,69.1973,64.4301,59.5818,54.6584,49.6661,44.6112,39.5001,34.3393,29.1352,23.8943,18.6234,13.3289,8.0177,2.6964,-2.6283,-7.9497,-13.2611
0.0228,61.0488,56.1036,51.0865,46.0038,40.8622,35.6681,30.4283,25.1495,19.8385,14.5019,9.1468,3.78,-1.5917,-6.9614,-12.3221,-17.667,-22.9893
0.023,52.6782,47.5709,42.4014,37.1767,31.9034,26.5885,21.2389,15.8615,10.4635,5.0518,-0.3665,-5.7843,-11.1946,-16.5902,-21.9643,-27.3096,-32.6193
0.0232,44.1161,38.8633,33.559,28.2101,22.8237,17.407,11.9672,6.5115,1.0472,-4.4185,-9.8784,-15.3251,-20.7515,-26.1503,-31.5145,-36.8367,-42.1101
0.0234,35.3934,30.0129,24.5919,19.1376,13.6575,8.1589,2.6493,-2.8639,-8.3732,-13.8712,-19.3505,-24.8036,-30.2232,-35.602,-40.9327,-46.2081,-51.4211
