time(s),10ms,40ms,70ms,100ms
0.0536,13.1863,47.9008,75.3269,91.538
0.0538,22.5345,57.0853,84.5086,100.741
0.054,31.7965,66.1842,93.6043,109.8578
0.0542,40.9356,75.1609,102.5774,118.8518
0.0544,49.9158,83.9792,111.3919,127.687
0.0546,58.7016,92.6037,120.0121,136.3277
0.0548,67.2581,100.9997,128.4035,144.7394
0.055,75.5517,109.1333,136.5322,152.8882
0.0552,83.5495,116.9718,144.3654,160.7413
0.0554,91.2199,124.4836,151.8714,168.2672
0.0556,98.5327,131.6383,159.0201,175.4354
0.0558,105.4588,138.407,165.7825,182.2171
0.056,111.9709,144.7623,172.1311,188.5849
0.0562,118.0433,150.6786,178.0404,194.5132
0.0564,123.652,156.1317,183.4862,199.9778
0.0566,128.7748,161.0996,188.4463,204.9566
0.0568,133.3914,165.5619,192.9006,209.4293
0.057,137.4835,169.5005,196.8308,213.3778
0.0572,141.0351,172.899,200.2207,216.7857
0.0574,144.0319,175.7435,203.0562,219.6391
0.0576,146.4622,178.0221,205.3255,221.9261
0.0578,148.3164,179.7251,207.0189,223.637
0.058,149.587,180.8453,208.1291,224.7646
0.0582,150.2691,181.3775,208.651,225.3037
0.0584,150.3598,181.319,208.582,225.2516
0.0586,149.8588,180.6695,207.9216,224.608
0.0588,148.7681,179.4308,206.6718,223.3749
0.059,147.092,177.6073,204.8368,221.5563
0.0592,144.8369,175.2055,202.4232,219.159
0.0594,142.0118,172.2343,199.44,216.1919
0.0596,138.6278,168.7048,195.8981,212.666
0.0598,134.6982,164.6303,191.811,208.5947
0.06,130.2384,160.0264,187.1941,203.9934
0.0602,125.2662,154.9105,182.0651,198.8797
0.0604,119.801,149.3023,176.4434,193.2733
0.0606,113.8644,143.2234,170.3506,187.1956
0.0608,107.4798,136.697,163.8102,180.6701
0.061,100.6724,129.7484,156.8473,173.722
0.0612,93.469,122.4045,149.4888,166.378
0.0614,85.8979,114.6936,141.7629,158.6666
0.0616,77.9892,106.6455,133.6997,150.6176
0.0618,69.7739,98.2915,125.3303,142.2623
0.062,61.2845,89.664,116.6871,133.633
0.0622,52.5544,80.7964,107.8036,124.7632
0.0624,43.618,71.7231,98.7142,115.6874
0.0626,34.5106,62.4795,89.4541,106.4407
0.0628,25.2682,53.1014,80.0593,97.0591
0.063,15.9272,43.6253,70.5662,87.5792
0.0632,6.5243,34.088,61.0117,78.0376
0.0634,-2.9032,24.5266,51.4328,68.4715
0.0636,-12.3182,14.9783,41.8668,58.9181
0.0638,-21.6836,5.4802,32.3507,49.4145
0.064,-30.9624,-3.9307,22.9216,39.9977
0.0642,-40.1181,-13.2179,13.616,30.7043
0.0644,-49.1145,-22.3452,4.4701,21.5703
0.0646,-57.9161,-31.2771,-4.4808,12.6313
0.0648,-66.4882,-39.979,-13.2018,3.922
0.065,-74.797,-48.4169,-21.6591,-4.5238
0.0652,-82.8098,-56.5582,-29.82,-12.6734
0.0654,-90.4949,-64.3713,-37.6529,-20.495
0.0656,-97.8219,-71.8258,-45.1274,-27.9585
0.0658,-104.7621,-78.8928,-52.2147,-35.0349
0.066,-111.2881,-85.545,-58.8874,-41.6968
0.0662,-117.374,-91.7566,-65.1197,-47.9185
0.0664,-122.9959,-97.5036,-70.8877,-53.676
0.0666,-128.1317,-102.7639,-76.1691,-58.9471
0.0668,-132.761,-107.5172,-80.9438,-63.7116
0.067,-136.8656,-111.7452,-85.1934,-67.9512
0.0672,-140.4294,-115.4318,-88.9018,-71.6497
0.0674,-143.4383,-118.5629,-92.0549,-74.793
0.0676,-145.8803,-121.1267,-94.6408,-77.3694
0.0678,-147.746,-123.1135,-96.65,-79.3692
0.068,-149.0279,-124.516,-98.0751,-80.785
0.0682,-149.721,-125.3292,-98.9111,-81.6118
0.0684,-149.8226,-125.5502,-99.1551,-81.8468
0.0686,-149.3323,-125.1788,-98.8069,-81.4898
0.0688,-148.2521,-124.2169,-97.8684,-80.5425
0.069,-146.5861,-122.6688,-96.3438,-79.0094
0.0692,-144.341,-120.541,-94.2398,-76.8969
0.0694,-141.5257,-117.8424,-91.5652,-74.214
0.0696,-138.1513,-114.5842,-88.3311,-70.9718
0.0698,-134.2312,-110.7797,-84.5509,-67.1835
0.07,-129.7807,-106.4443,-80.2401,-62.8648
0.0702,-124.8175,-101.5957,-75.4162,-58.0331
0.0704,-119.3612,-96.2534,-70.0987,-52.7081
0.0706,-113.4333,-90.439,-64.3094,-46.9113
0.0708,-107.0573,-84.1759,-58.0715,-40.6661
0.071,-100.2582,-77.4893,-51.4103,-33.9976
