time(s),correct_value
0.1888,30.1617
0.189,20.876
0.1892,11.5079
0.1894,2.0943
0.1896,-7.3275
0.1898,-16.7203
0.19,-26.0472
0.1902,-35.2713
0.1904,-44.3562
0.1906,-53.266
0.1908,-61.9657
0.191,-70.4207
0.1912,-78.5979
0.1914,-86.4648
0.1916,-93.9906
0.1918,-101.1454
0.192,-107.901
0.1922,-114.2307
0.1924,-120.1097
0.1926,-125.5146
0.1928,-130.4242
0.193,-134.8191
0.1932,-138.6819
0.1934,-141.9974
0.1936,-144.7525
0.1938,-146.9363
0.194,-148.5402
0.1942,-149.5579
0.1944,-149.9854
0.1946,-149.8209
0.1948,-149.0652
0.195,-147.7212
0.1952,-145.7942
0.1954,-143.2918
0.1956,-140.2239
0.1958,-136.6025
0.196,-132.4421
0.1962,-127.759
0.1964,-122.5717
0.1966,-116.9007
0.1968,-110.7683
0.197,-104.1988
0.1972,-97.218
0.1974,-89.8535
0.1976,-82.1345
0.1978,-74.0913
0.198,-65.7557
0.1982,-57.1606
0.1984,-48.3399
0.1986,-39.3284
0.1988,-30.1617
0.199,-20.876
0.1992,-11.5079
0.1994,-2.0943
0.1996,7.3275
0.1998,16.7203
0.2,26.0472
0.2002,35.2713
0.2004,44.3562
0.2006,53.266
0.2008,61.9657
0.201,70.4207
0.2012,78.5979
0.2014,86.4648
0.2016,93.9906
0.2018,101.1454
0.202,107.901
0.2022,114.2307
0.2024,120.1097
0.2026,125.5146
0.2028,130.4242
0.203,134.8191
0.2032,138.6819
0.2034,141.9974
0.2036,144.7525
0.2038,146.9363
0.204,148.5402
0.2042,149.5579
0.2044,149.9854
0.2046,149.8209
0.2048,149.0652
0.205,147.7212
0.2052,145.7942
0.2054,143.2918
0.2056,140.2239
0.2058,136.6025
0.206,132.4421
0.2062,127.759
0.2064,122.5717
0.2066,116.9007
0.2068,110.7683
0.207,104.1988
0.2072,97.218
0.2074,89.8535
0.2076,82.1345
0.2078,74.0913
0.208,65.7557
0.2082,57.1606
0.2084,48.3399
0.2086,39.3284
0.2088,30.1617
0.209,20.876
0.2092,11.5079
0.2094,2.0943
0.2096,-7.3275
0.2098,-16.7203
0.21,-26.0472
0.2102,-35.2713
0.2104,-44.3562
0.2106,-53.266
0.2108,-61.9657
0.211,-70.4207
0.2112,-78.5979
0.2114,-86.4648
0.2116,-93.9906
0.2118,-101.1454
0.212,-107.901
0.2122,-114.2307
0.2124,-120.1097
0.2126,-125.5146
0.2128,-130.4242
0.213,-134.8191
0.2132,-138.6819
0.2134,-141.9974
0.2136,-144.7525
0.2138,-146.9363
0.214,-148.5402
0.2142,-149.5579
0.2144,-149.9854
0.2146,-149.8209
0.2148,-149.0652
0.215,-147.7212
0.2152,-145.7942
0.2154,-143.2918
