time(s),10ms,40ms,70ms,100ms
0.0406,55.8534,107.6264,137.2508,153.2126
0.0408,64.5018,116.0549,145.7108,161.7125
0.041,72.9066,124.2402,153.9269,169.9683
0.0412,81.0346,132.1489,161.8658,177.9465
0.0414,88.8533,139.7488,169.4952,185.615
0.0416,96.3317,147.0088,176.7841,192.9426
0.0418,103.4401,153.8991,183.7026,199.8997
0.042,110.1503,160.3916,190.2227,206.458
0.0422,116.4355,166.4596,196.3176,212.5909
0.0424,122.2708,172.0781,201.9624,218.2733
0.0426,127.633,177.2238,207.1338,223.4821
0.0428,132.5006,181.8755,211.8105,228.196
0.043,136.8544,186.0138,215.9732,232.3955
0.0432,140.6769,189.6212,219.6044,236.0633
0.0434,143.9529,192.6827,222.6891,239.1842
0.0436,146.6692,195.1849,225.2139,241.7451
0.0438,148.8151,197.1172,227.1682,243.7352
0.044,150.3818,198.4709,228.5432,245.1457
0.0442,151.363,199.2395,229.3326,245.9704
0.0444,151.7548,199.4192,229.5325,246.2052
0.0446,151.5553,199.0082,229.1411,245.8485
0.0448,150.7652,198.0072,228.1591,244.9009
0.045,149.3875,196.419,226.5894,243.3654
0.0452,147.4275,194.2491,224.4373,241.2473
0.0454,144.8928,191.5051,221.7106,238.5542
0.0456,141.7932,188.1967,218.4189,235.2959
0.0458,138.1408,184.3361,214.5745,231.4847
0.046,133.9499,179.9377,210.1917,227.1347
0.0462,129.237,175.0177,205.2867,222.2624
0.0464,124.0204,169.5947,199.8782,216.8863
0.0466,118.3207,163.6891,193.9866,211.0268
0.0468,112.1602,157.3233,187.6343,204.7063
0.047,105.563,150.5216,180.8455,197.9491
0.0472,98.5553,143.3098,173.646,190.781
0.0474,91.1643,135.7155,166.0635,183.2296
0.0476,83.4193,127.7677,158.127,175.324
0.0478,75.3507,119.4969,149.867,167.0946
0.048,66.9901,110.9348,141.3152,158.5732
0.0482,58.3706,102.1144,132.5045,149.7926
0.0484,49.5259,93.0694,123.4689,140.7868
0.0486,40.4909,83.8349,114.243,131.5906
0.0488,31.3012,74.4462,104.8626,122.2396
0.049,21.993,64.9396,95.3638,112.7699
0.0492,12.6027,55.3517,85.7831,103.2182
0.0494,3.1675,45.7195,76.1577,93.6214
0.0496,-6.2755,36.0802,66.5246,84.0168
0.0498,-15.6892,26.4708,56.921,74.4414
0.05,-25.0365,16.9285,47.384,64.9324
0.0502,-34.2806,7.4901,37.9504,55.5265
0.0504,-43.3851,-1.8081,28.6566,46.2602
0.0506,-52.3142,-10.9301,19.5385,37.1693
0.0508,-61.0327,-19.8409,10.6311,28.289
0.051,-69.5062,-28.5061,1.969,19.6536
0.0512,-77.7015,-36.8923,-6.4147,11.2965
0.0514,-85.5862,-44.9673,-14.4876,3.2499
0.0516,-93.1293,-52.7,-22.2187,-4.4551
0.0518,-100.3012,-60.0607,-29.5783,-11.7887
0.052,-107.0735,-67.0212,-36.5381,-18.7229
